地方議會議事錄-資料目錄
輸出條件：,tags:My\ Folder:+
輸出數量：,10

"","書目序號","議會名稱","資料類型","書目名稱","典藏序號","類別階層","會議階層","內容類別","頁次起","頁次迄","影像序起","影像序迄","日期起","日期迄","內容摘要","會議主席","提案議員","相關議員","請願人","機關","相關機關","請願機關","文號","參照","","資料連結"
"1","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-1-0-00051","議事錄/報告/總綱/臺灣省參議會","臺灣省參議會/第一屆/第一次定期大會/第一次會議","內容","0035","0035","0035.jpg","0035.jpg","1946-05-01","1946-05-01","議長致詞、副議長致詞","李崇禮","","","","","","","","","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-1-0-00051"
"2","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-1-0-00060","議事錄/報告/總綱/臺灣省行政長官公署","臺灣省參議會/第一屆/第一次定期大會/第二次會議","內容","0036","0036","0036.jpg","0036.jpg","1946-05-02","1946-05-02","長官公署秘書處葛敬恩施政報告","黃朝琴","","","","臺灣省行政長官公署：秘書長：葛敬恩","","","","詳臺灣省行政長官公署施政總報告","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-1-0-00060"
"3","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-1-0-00192","議事錄/報告/總綱/臺灣省參議會","臺灣省參議會/第一屆/第一次定期大會/第十次會議","內容","0081","0082","0081.jpg","0082.jpg","1946-05-10","1946-05-10","省參議會第十日嚴處長作交通報告後黃朝琴議長突然起立向大會提出辭職并當場演講","黃朝琴","","","","臺灣省政府交通處：處長：嚴家淦","","","","","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-1-0-00192"
"4","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-1-0-00194","議事錄/報告/總綱/總目","臺灣省參議會/第一屆/第一次定期大會/第十一次會議","內容","0082","0082","0082.jpg","0082.jpg","1946-05-11","1946-05-11","會計報告、司法報告、法制委員會報告、臺灣大學報告","黃朝琴","","","","法制委員會、國立臺灣大學","","","","報告內容詳書面報告","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-1-0-00194"
"5","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-2-0-00012","議事錄/報告/民政/民政處、民政廳","臺灣省參議會/第一屆/第一次定期大會/-","內容","0021","0022","0021.jpg","0022.jpg","1946-04-30","1946-05-15","民政處處長周一鶚：我所希望的省參議會","","","","","民政處：處長：周一鶚","","","","","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-2-0-00012"
"6","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-2-0-00067","議事錄/報告/民政/警備總司令部","臺灣省參議會/第一屆/第一次定期大會/第三次會議","內容","0037","0037","0037.jpg","0037.jpg","1946-05-03","1946-05-03","警備總司令部參謀長柯遠芬軍事報告","黃朝琴","","","","臺灣省警備總司令部：參謀長：柯遠芬","","","","詳臺灣省第一屆參議會第一次大會軍事報告書","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-2-0-00067"
"7","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-2-0-00097","議事錄/報告/民政/警務處、警政廳","臺灣省參議會/第一屆/第一次定期大會/第四次會議","內容","0042","0042","0042.jpg","0042.jpg","1946-05-04","1946-05-04","警務處胡福相處長警務報告","李萬居","","","","臺灣省政府警務處：處長：胡福相","","","","臺灣省參議會第一屆第一次大會警務報告","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-2-0-00097"
"8","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-2-0-00110","議事錄/報告/民政/民政處、民政廳","臺灣省參議會/第一屆/第一次定期大會/第五次會議","內容","0046","0046","0046.jpg","0046.jpg","1946-05-05","1946-05-05","長官公署民政處周處長民政報告","黃朝琴","","","","民政處：處長：周一鶚","","","","詳臺灣省行政長官公署民政處工作報告","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-2-0-00110"
"9","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-3-0-00134","議事錄/報告/財政/財政處、財政廳","臺灣省參議會/第一屆/第一次定期大會/第六次會議","內容","0052","0052","0052.jpg","0052.jpg","1946-05-06","1946-05-06","財政處嚴家淦處長報告：一、財政報告；二、專賣報告；三、貿易報告；四、產處理報告","黃朝琴","","","","財政處：處長：嚴家淦","","","","","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-3-0-00134"
"10","001-01-01OA-00","臺灣省參議會","議事錄","臺灣省參議會第一屆第一次定期大會","001-01-01OA-00-1-4-0-00169","議事錄/報告/建設/工礦處、礦務局","臺灣省參議會/第一屆/第一次定期大會/第九次會議","內容","0068","0068","0068.jpg","0068.jpg","1946-05-09","1946-05-09","長官公署工礦處范處長工作報告","黃朝琴","","","","工礦處","","","","詳臺灣省行政長官公署工礦處工作報告","","http://journal.tpa.gov.tw/query.php?act=reference&view=001-01-01OA-00-1-4-0-00169"
