國史館檔案史料文物查詢系統-資料目錄
輸出數量：,35

"no","入藏登錄號","卷名","檔案系列","題名摘要","卷件開始日期","卷件結束日期","數位典藏號"
"1","002000000202P","中國青年反共救國團四十七年暑期青年戰鬥訓練成果","蔣中正總統文物/照片/主題/其他","中國青年反共救國團：烏腳病診療隊","1958/00/00","1958/00/00","002-050115-00002-022"
"2","002000002694A","總統事略日記 （蔣經國剪報資料）64.01~64.04","蔣中正總統文物/其他/總統事略日記/蔣經國剪報資料","中華民國之友社副社長{#戈梅斯#}推崇總統{#蔣中正#}，泰國國會議長{#巴伯#}訪華，行政院長{#蔣經國#}嘉許省政建設指示厲行政治革新","1975/01/17","1975/01/19","002-110102-00004-007"
"3","002000002694A","總統事略日記 （蔣經國剪報資料）64.01~64.04","蔣中正總統文物/其他/總統事略日記/蔣經國剪報資料","行政院長{#蔣經國#}勉勵新聞界人士多反映民意及問題勿說歌功頌德的話，美國的民意測驗顯示強烈支持中美關係","1975/02/06","1975/02/08","002-110102-00004-018"
"4","005000000197A","民國七十三年蔣經國行誼新聞報導","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國言行剪輯","蔣經國接見中華奧運代表團期許有計畫推展全民體育等新聞剪報","1984/08/02","1984/08/02","005-010401-00028-008"
"5","005000000239A","民國六十五年蔣經國大事日記略稿","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國行事紀","民國六十五年六月蔣經國主持中國國民黨中央常務委員會並以從政黨員身分將行政院局部改組案提會通過等大事日記略稿","1976/06/01","1976/06/01","005-010402-00007-006"
"6","005000000253A","民國七十三年蔣經國大事日記略稿（二）","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國行事紀","民國七十三年八月蔣經國提名經中國國民黨中央常會同意確定孔德成與林金生為第七屆考試院院長與副院長等大事日記略稿","1984/08/01","1984/08/01","005-010402-00021-002"
"7","005000000259A","民國七十六年蔣經國大事日記略稿（二）","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國行事紀","民國七十六年八月全美臺灣同鄉聯誼會於美國加州揭幕蔣經國特致賀電對該會的高度愛國熱忱表示推崇之意等大事日記略稿","1987/08/01","1987/08/01","005-010402-00027-002"
"8","005000000265A","民國六十七年蔣經國新聞剪報資料（一）","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國言行剪輯","民國六十七年八月蔣經國前往澎湖巡視地方建設並與當地軍政首長會談等新聞剪報資料","1978/08/01","1978/08/01","005-010401-00036-004"
"9","005000000294A","民國七十三年蔣經國新聞剪報資料（四）","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國言行剪輯","民國七十三年八月蔣經國接見中華奧運代表團期勉有計畫推展全民體育等新聞剪報資料","1984/08/02","1984/08/02","005-010401-00065-002"
"10","005000000304A","民國七十六年蔣經國新聞剪報資料（二）","蔣經國總統文物/文件/行誼剪輯與大事紀/蔣經國言行剪輯","民國七十六年八月新聞報導對於蔣經國約見十二位民間耆宿暢談地方民情的相關想法及意見","1987/08/01","1987/08/01","005-010401-00075-004"
"11","005000000580A","蔣經國函札暨題詞稿（十八）","蔣經國總統文物/文件/專著手札與講詞/手札類","蔣經國致函陳嘉雄承陪同到各處訪問及勉勵為烏腳病患解決飲水問題是有價值有意義的工作","1974/07/03","1974/07/03","005-010502-00074-017"
"12","006000000114A","任行政院長時：函（五十三年）（三）","嚴家淦總統文物/文件/行政院長時期（1963-12至1972-06）/函電","行政院長嚴家淦函復嘉義縣長侯全成攝理縣政僅及一載政績斐然深表嘉勉","1964/04/25","1964/04/25","006-010606-00004-013"
"13","007000000234P","李登輝總統照片集（17）","李登輝總統文物/照片/時期/臺灣省省主席","臺灣省政府主席李登輝視察烏腳病治療醫院及訪問南鯤鯓廟","1982/04/30","1982/04/30","007-050203-00006-013"
"14","007VHS000191V","李登輝活動輯要—民國八十六年八月","李登輝總統文物/視聽/影音/國內活動","總統{#李登輝#}頒贈仁醫濟世匾額給烏腳病之父{#王金河#}醫師以表彰他畢生為病患無私奉獻的精神","1997/08/21","1997/08/21","007-040101-00111-031"
"15","007VHS000253V","李登輝活動輯要—民國八十六年八月","李登輝總統文物/視聽/影音/國內活動","總統{#李登輝#}頒贈仁醫濟世匾額給烏腳病之父{#王金河#}醫師以表彰他畢生為病患無私奉獻的精神","1997/08/21","1997/08/21","007-040101-00111-060"
"16","009000000150P","{#謝東閔#}先生任省政府主席時期照片（二十七）","謝東閔副總統文物/照片/時期/臺灣省政府主席","臺灣省政府主席{#謝東閔#}視察臺南縣烏腳病防治中心","1973/04/06","1973/04/06","009-030204-00027-020"
"17","009000000152P","{#謝東閔#}先生任省政府主席時期照片（二十九）","謝東閔副總統文物/照片/時期/臺灣省政府主席","臺灣省政府主席{#謝東閔#}視察臺南縣烏腳病防治中心","1973/04/06","1973/04/06","009-030204-00029-020"
"18","009000000153P","{#謝東閔#}先生任省政府主席時期照片（三十）","謝東閔副總統文物/照片/時期/臺灣省政府主席","臺灣省政府主席{#謝東閔#}陪同行政院院長{#蔣經國#}視察臺南縣北門鄉烏腳病防治中心","1973/04/19","1973/04/19","009-030204-00030-015"
"19","009000000155P","{#謝東閔#}先生任省政府主席時期照片（三十二）","謝東閔副總統文物/照片/時期/臺灣省政府主席","臺灣省政府主席{#謝東閔#}陪同行政院院長{#蔣經國#}視察臺南縣北門鄉烏腳病防治中心","1973/04/19","1973/04/19","009-030204-00032-018"
"20","010000000029P","陳水扁總統數位照片（2007年7月2日～12月31日）","陳水扁總統文物/照片/時期/第十一任總統時期","總統{#陳水扁#}出席「臺灣烏腳病醫療紀念館」開館典禮","2007/09/29","2007/09/29","010-030204-00005-293"
"21","014000013856A","行政院會議議事錄　臺第三四一冊一一七七","行政院/總類/行政院事務/行政院會議議事錄","行政院第一一七七次會議
秘密報告事項：（一）經合會會議簡報案（二）經合會所擬六十年度中美基金運用方案一案之審查意見請鑒核案（三）外交經濟兩部會呈為關於美國大使館洽請我政府俾予維吉尼亞奶品公司特約承辦人一案之洽辦情形請鑒核案
秘密討論事項：（一）本院原子能委員會呈報關於台電核能二號機反應器型式選擇一案之會商結論請核議案（二）財政部呈擬中央政府興建臺灣區高速公路建設公債發行條例草案請連同該高速公路特別預算案一併核轉立法院審議案（三）主計處簽報關於交通部改編後之中央政府興建臺灣區南北高速公路第一期工程特別預算案之審議結論已奉批示請鑒察案
報告事項：（一）外交部呈報修訂中泰空運臨時協定情形擬准備查請鑒核案（二）內政部議復關於臺灣省政府呈「戡亂時期臺灣地區戶政改進辦法」試行期限至本五十九年六月三十日屆滿應如何處理擬自本五十九年七月一日起繼續試行一年請鑒核案（三）內政部及本院主計處會呈「行政院戶口普查處組織規程草案」擬由院公布施行請鑒核案
討論事項：（一）經合會呈為經洽美方同意修訂中美經濟社會發展基金協定將協定期限延長五年並請授權外交部部長代表我方與美方換文請核議案（二）主計處擬呈六十年度中央政府各機關預算執行辦法請核議案
臨時報告事項：（一）賦稅改革委員會劉主任委員報告為本會即將於本（六）月底完成設計及編擬改革方案業務八月底前辦竣結束及移交事宜謹將所完成之工作綱目報請鑒核案","1970/06/25","1970/06/25","014-000205-00368-001"
"22","020000012676A","中日經濟技術合作（四）","外交部/亞東關係協會/財經/","行政院衛生署提名{#劉尚修#}等十六人赴日本研習空氣污染防治技術及日本交流協會決定此十六人赴日研習期間，臺灣省省立臺南醫院向日本申請贈送鈷六十器材設備申請書及交流協會贈送器材清單，中日技術合作計畫項下應邀來華服務日本專家之簽證申請免辦保證手續事等中日技術合作相關資料","1973/07/06","1975/01/07","020-190300-0088"
"23","028000001985A","烏腳病防治","行政院衛生署/防疫//","烏腳病奇症防治","1958/00/00","1962/00/00","028-040000-0090"
"24","028000003233A","國民健康局移交案卷（四十五）","行政院衛生署/所屬移交/省級衛生機構/","「烏腳病」相關資料","1991/00/00","1991/00/00","028-070200-0045"
"25","028000003382A","國民健康局移交案卷（一九四）","行政院衛生署/所屬移交/省級衛生機構/","烏腳病防治研究結果彙編","1993/10/00","1993/10/00","028-070200-0194"
"26","028000003383A","國民健康局移交案卷（一九五）","行政院衛生署/所屬移交/省級衛生機構/","「烏腳病文獻整理」相關公文及專家意見","1991/12/27","1993/06/00","028-070200-0195"
"27","028000003391A","國民健康局移交案卷（二○三）","行政院衛生署/所屬移交/省級衛生機構/","「烏腳病文獻整理」專家意見（1）","1993/06/00","1993/07/22","028-070200-0203"
"28","028000003392A","國民健康局移交案卷（二○四）","行政院衛生署/所屬移交/省級衛生機構/","「烏腳病文獻整理」專家意見（2）","1993/06/00","1993/06/00","028-070200-0204"
"29","034000011085A","Provision of Potable Water to Black Foot Disease Areas in Shinying and Yenshui Township, Tainan County by Extension of Hsinying District Water Supply System 提供烏腳病疫區飲用水","行政院農業委員會/計畫檔/鄉村衛生/","Provision of Potable Water to Black Foot Disease Areas in Shinying and Yenshui Township, Tainan County by Extension of Hsinying District Water Supply System 藉由擴展地區供水系統提供臺南縣新營與鹽水鎮烏腳病疫區飲用水","1970/00/00","1973/00/00","034-020300-0548"
"30","034000019038A","興建烏腳病防治中心","行政院農業委員會/專檔/食品衛生/","興建烏腳病防治中心","1976/00/00","1977/00/00","034-030400-0050"
"31","080000000014P","馬英九總統數位照片（2009年3月）","馬英九總統文物/照片/2009年/","總統{#馬英九#}探視「烏腳病之父」{#王金河#}醫生","2009/03/15","2009/03/15","080-030200-00003-058"
"32","080HD000002V","馬英九總統視聽資料（2009年3月）","馬英九總統文物/視聽/2009年/","總統{#馬英九#}探視「烏腳病之父」{#王金河#}醫生","2009/03/15","2009/03/15","080-040200-00003-043"
"33","150000000125F","臺灣新生報底片民國五十八年（十五）","台灣新生報/底片/1969年/","臺大醫院的醫師為三十名烏腳病患作連續兩天的檢查，了解他們服用「安脈寧」的效果","1969/08/11","1969/08/11","150-030800-0015-030"
"34","1551030080001B","烏腳病之父王金河醫師回憶錄","褒揚史料","","2010/07/00","2010/07/00",""
"35","1551030080003A","陳正美撰〈臺灣烏腳病之父－王金河醫師〉（摘自南瀛文獻）","褒揚史料","","0000/00/00","0000/00/00",""
